标准指标名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
all_conversions_from_location_asset_website,Conversions,-,all_conversions_from_location_asset_website,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_from_store_visit,Conversions,-,all_conversions_from_store_visit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
store_visits_last_click_model_attributed_conversions,Conversions,-,store_visits_last_click_model_attributed_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
conversions_unique_query_clusters,Conversions,-,conversions_unique_query_clusters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_value_per_cost,Conversions,-,-,-,-,all_conversions_value_per_cost,all_conversions_value_per_cost,-,-,-,-,-,-,-,-,-,-,-
conversions_value_per_cost,Conversions,-,-,-,-,conversions_value_per_cost,conversions_value_per_cost,-,-,-,-,-,-,-,-,-,-,-
conversion_rate,Conversions,-,-,-,-,-,-,-,conversion_rate,conversion_rate,conversion_rate,conversion_rate,-,-,-,-,-,-
purchase,Conversions,-,-,-,-,-,-,-,purchase,purchase,purchase,purchase,totalPurchases14d/purchases7d,totalPurchases14d/purchases7d,totalPurchases14d/purchases7d,actions:purchase,actions:purchase,actions:purchase
complete_payment,Conversions,-,-,-,-,-,-,-,complete_payment,complete_payment,complete_payment,complete_payment,-,-,-,-,-,-
purchase_roas,Conversions,-,-,-,-,-,-,-,purchase_roas,purchase_roas,purchase_roas,purchase_roas,-,-,-,purchase_roas,purchase_roas,purchase_roas
total_purchase_value,Conversions,-,-,-,-,-,-,-,total_purchase_value,total_purchase_value,total_purchase_value,total_purchase_value,totalSales14d/sales7d,totalSales14d/sales7d,totalSales14d/sales7d,action_values:purchase,action_values:purchase,action_values:purchase
registration,Conversions,-,-,-,-,-,-,-,registration,registration,registration,registration,-,-,-,actions:complete_registration,actions:complete_registration,actions:complete_registration
app_install,Conversions,-,-,-,-,-,-,-,app_install,app_install,app_install,app_install,-,-,-,actions:app_install,actions:app_install,actions:app_install
download_start,Conversions,-,-,-,-,-,-,-,download_start,download_start,download_start,download_start,-,-,-,-,-,-
add_payment_info,Conversions,-,-,-,-,-,-,-,add_payment_info,add_payment_info,add_payment_info,add_payment_info,-,-,-,actions:add_payment_info,actions:add_payment_info,actions:add_payment_info
skan_conversion,SKAN,-,-,-,-,-,-,-,skan_conversion,skan_conversion,skan_conversion,skan_conversion,-,-,-,-,-,-
skan_app_install,SKAN,-,-,-,-,-,-,-,skan_app_install,skan_app_install,skan_app_install,skan_app_install,-,-,-,-,-,-
skan_purchase,SKAN,-,-,-,-,-,-,-,skan_purchase,skan_purchase,skan_purchase,skan_purchase,-,-,-,-,-,-
vta_purchase,Attribution,-,-,-,-,-,-,-,vta_purchase,vta_purchase,vta_purchase,vta_purchase,-,-,-,-,-,-
cta_app_install,Attribution,-,-,-,-,-,-,-,cta_app_install,cta_app_install,cta_app_install,cta_app_install,-,-,-,-,-,-
cta_purchase,Attribution,-,-,-,-,-,-,-,cta_purchase,cta_purchase,cta_purchase,cta_purchase,-,-,-,-,-,-
engagements,Engagement,-,engagements,engagements,engagements,engagements,engagements,-,-,-,-,-,-,-,-,-,-,-
engagement_rate,Engagement,-,engagement_rate,engagement_rate,engagement_rate,engagement_rate,engagement_rate,-,-,-,-,-,-,-,-,-,-,-
interactions,Engagement,-,interactions,interactions,interactions,interactions,interactions,interactions,-,-,-,-,-,-,-,-,-,-
interaction_rate,Engagement,-,interaction_rate,interaction_rate,interaction_rate,interaction_rate,interaction_rate,interaction_rate,-,-,-,-,-,-,-,-,-,-
interaction_event_types,Engagement,-,interaction_event_types,interaction_event_types,interaction_event_types,interaction_event_types,interaction_event_types,interaction_event_types,-,-,-,-,-,-,-,-,-,-
bounce_rate,Engagement,-,bounce_rate,bounce_rate,bounce_rate,bounce_rate,bounce_rate,-,-,-,-,-,-,-,-,-,-,-
average_page_views,Engagement,-,average_page_views,average_page_views,average_page_views,average_page_views,average_page_views,-,-,-,-,-,-,-,-,-,-,-
average_time_on_site,Engagement,-,average_time_on_site,average_time_on_site,average_time_on_site,average_time_on_site,average_time_on_site,-,-,-,-,-,-,-,-,-,-,-
gmail_forwards,Engagement,-,gmail_forwards,gmail_forwards,gmail_forwards,gmail_forwards,-,-,-,-,-,-,-,-,-,-,-,-
gmail_saves,Engagement,-,gmail_saves,gmail_saves,gmail_saves,gmail_saves,-,-,-,-,-,-,-,-,-,-,-,-
gmail_secondary_clicks,Engagement,-,gmail_secondary_clicks,gmail_secondary_clicks,gmail_secondary_clicks,gmail_secondary_clicks,-,-,-,-,-,-,-,-,-,-,-,-
likes,Engagement,-,-,-,-,-,-,-,likes,likes,likes,likes,-,-,-,-,-,-
follows,Engagement,-,-,-,-,-,-,-,follows,follows,follows,follows,-,-,-,-,-,-
comments,Engagement,-,-,-,-,-,-,-,comments,comments,comments,comments,-,-,-,-,-,-
shares,Engagement,-,-,-,-,-,-,-,shares,shares,shares,shares,-,-,-,-,-,-
profile_visits,Engagement,-,-,-,-,-,-,-,profile_visits,profile_visits,profile_visits,profile_visits,-,-,-,-,-,-
clicks_on_music_disc,Engagement,-,-,-,-,-,-,-,clicks_on_music_disc,clicks_on_music_disc,clicks_on_music_disc,clicks_on_music_disc,-,-,-,-,-,-
video_play_actions,Video,-,-,-,-,-,-,-,video_play_actions,video_play_actions,video_play_actions,video_play_actions,-,-,-,-,-,-
video_watched_2s,Video,-,-,-,-,-,-,-,video_watched_2s,video_watched_2s,video_watched_2s,video_watched_2s,-,-,-,-,-,-
