标准维度名,维度分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,GG-CampaignTargeting,GG-ConversionAction,TT-Account,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Account,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Account,FB-Campaign,FB-AdSet,FB-Ad
conversion_default_value,Conversion Action,-,-,-,-,-,-,-,-,value_settings_default_value,-,-,-,-,-,-,-,-,-,-,-,-
campaign_budget_type,Campaign,-,-,-,-,-,-,-,-,-,-,-,-,-,campaignBudgetType,campaignBudgetType,campaignBudgetType,-,buying_type,buying_type,buying_type,-
targeting_expression,Amazon Targeting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,targetingExpression,-,-,-,-
advertised_asin,Amazon Product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,advertisedAsin,-,-,-,-
advertised_sku,Amazon Product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,advertisedSku,-,-,-,-
ad_product,Amazon Product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,adProduct,adProduct,adProduct,-,-,-,-
fb_creative_id,FB Creative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,creative
fb_object_story_id,FB Creative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,object_story_id
fb_call_to_action_type,FB Creative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,call_to_action_type
fb_optimization_goal,FB Optimization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,optimization_goal,optimization_goal,optimization_goal
fb_destination_type,FB Optimization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,destination_type,destination_type
fb_billing_event,FB Optimization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,billing_event,billing_event
fb_attribution_spec,FB Attribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,attribution_spec,attribution_spec
